Restaurant,Rating,Cuisine,Price_for_Two,Location,Delivery_Time
Dhaba - Estd 1986 Delhi,4.3,"Desserts, Mughlai, Kebab, North Indian","₹1,400 for two people",Gachibowli,
Ivoryy Fusion Bar,,"Cafe, Asian, Modern Indian","₹2,000 for two people",Gachibowli,
Cafe Hawkers,4.1,"Chinese, Fast Food, Desserts, Beverages, Momos","₹1,600 for two people",Gachibowli,
Cé La Vie Kitchen & Bar,4.2,"North Indian, Mediterranean, Western European, Lebanese, İtalyan, Chinese, Asian, Bar Mutfağı","₹2,200 for two people",Gachibowli,
38 Barracks,4.6,"North Indian, Biryani, Chinese, Kebab, Desserts, Beverages","₹2,000 for two people",Gachibowli,
Local,4.2,"North Indian, Western European, Meksika, İtalyan, Doğu, Biryani, Beverages","₹2,600 for two people",Gachibowli,
Xero Courtyard,4.2,"Japon, Amerikan, Western European, North Indian, Lebanese, Chinese","₹2,000 for two people",Gachibowli,
American Brew - All day American Breakfast & Cafe,4.4,"Cafe, Kahve, Beverages, Sağlıklı Yemek, İtalyan, Western European, Pancake, Desserts","₹2,000 for two people",Gachibowli,
Chido,4.1,"Chinese, İtalyan, Asian, Pizza, North Indian","₹2,500 for two people",Gachibowli,
Somewhere Restaurant & Bar,4.1,"North Indian, Asian, European, Continental, Lebanese, Turkish, Mediterranean, Kebab","₹2,000 for two",Gachibowli,
Desi Villagio,4.1,"North Indian, Mughlai, Kebab, Chinese, Desserts","₹1,800 for two",Gachibowli,Closes in 1 hour 54 minutes
Plum Coffee and Cocktails,4.5,"Continental, North Indian, Italian, Asian","₹2,000 for two",Gachibowli,
Tamasha,4.2,"North Indian, Asian, Mughlai, Chinese, Italian, Biryani, Desserts, Beverages","₹2,500 for two",Gachibowli,
Out Of The Box Courtyard,4.0,"Continental, North Indian, Italian, Pizza, Chinese, Asian, Fast Food, Beverages","₹2,200 for two",Gachibowli,
Parikrama - The Revolving Restaurant,4.0,"North Indian, Chinese, Italian, Continental, Beverages, Desserts","₹2,500 for two",Gachibowli,
Privya,4.3,"Chinese, Italian, Asian","₹1,800 for two",Gachibowli,
Bukhara - ITC Maurya,4.5,"North Indian, Kebab, Desserts","₹8,000 for two",Gachibowli,
Gola Sizzlers - Naresh Gola Group,4.4,"North Indian, Chinese, Salad, Pasta, Pizza, Desserts, Shake, Beverages","₹1,900 for two",Gachibowli,Closes in 1 hour 54 minutes
Kiara Soul Kitchen,4.7,"North Indian, Chinese, Sushi, Asian, Healthy Food, Salad, Desserts, Beverages","₹2,400 for two",Gachibowli,Closes in 1 hour 24 minutes
Organic Bistro - Kitchen and cafe,,"Pizza, Wraps, Burger, Sandwich, Healthy Food, Beverages","₹2,000 for two",Gachibowli,Closes in 1 hour 24 minutes
Haldirams,3.8,"Mithai, North Indian, South Indian, Chinese, Fast Food, Street Food, Bakery, Desserts",₹600 for two,Gachibowli,Closes in 1 hour 24 minutes
Massala Singh,4.2,"North Indian, Modern Indian, Mughlai","₹1,600 for two",Gachibowli,
Shri Ram Sweets & Restaurant,,"North Indian, Chinese, Fast Food, South Indian",₹200 for two,Gachibowli,Closes in 24 minutes
The Mandi Chowk - Biryani Kitchen,4.4,"Mandi, Biryani, Arabian, Mughlai, Seafood, Kebab, Shawarma, North Indian","₹1,400 for two",Gachibowli,Closes in 1 hour 24 minutes
Cafe Wink,4.6,"Cafe, Continental, Italian, Fast Food, Sandwich, Pizza, Beverages, Desserts","₹1,000 for two",Gachibowli,Closes in 1 hour 24 minutes
Dicha,4.1,"Asian, North Indian, Biryani, Desserts","₹1,200 for two",Gachibowli,
Covah - The Cavern,4.1,"Continental, Middle Eastern, Mediterranean, Italian, Asian, Japanese, Salad, Bar Food","₹3,000 for two",Gachibowli,
Echoes,4.5,"Pizza, Burger, Momos, Coffee, Pasta, Shake, Chinese, North Indian","₹1,500 for two",Gachibowli,
Ridhi Sidhi Lucky Dhaba,,"North Indian, Fast Food, Street Food, Beverages",₹450 for two,Gachibowli,
Mount Fuji Japanese Pan Asian Restaurant & Bar,4.7,"Japanese, Asian, Chinese, Thai, Sushi, Seafood, Desserts, Beverages","₹2,500 for two",Gachibowli,Closes in 1 hour 24 minutes
Drama,4.3,"Modern Indian, Asian, Italian, Continental","₹3,000 for two",Gachibowli,
The Darzi Bar & Kitchen,4.2,"North Indian, Chinese, Asian, Italian, Mughlai, Desserts, Tea, Beverages","₹4,000 for two",Gachibowli,
Themis Barbecue House,4.5,"Brazilian, Italian, Asian, Lebanese, Mexican, Desserts","₹1,900 for two",Gachibowli,Closes in 1 hour 54 minutes
Delia My Bar Headquarters,4.0,"North Indian, Chinese, Fast Food, Beverages","₹1,600 for two",Gachibowli,
Roma by Unplugged,4.2,"Modern Indian, Continental, Italian, Mediterranean","₹2,800 for two",Gachibowli,
Out Of The Box,4.1,"European, Oriental, Pizza, American","₹2,500 for two",Gachibowli,
Pirates Of Grill,4.3,"Chinese, Asian, Oriental, North Indian, Salad, BBQ, Desserts","₹2,200 for two",Gachibowli,
Punjabi Angithi By Vegorama Group,4.1,₹100 OFF,₹100 OFF,Gachibowli,34 min
Burger King,4.1,₹100 OFF,₹100 OFF,Gachibowli,26 min
Ghee and Turmeric,4.3,₹100 OFF,₹100 OFF,Gachibowli,26 min
Prem Dhaba,4.1,₹100 OFF,₹100 OFF,Gachibowli,30 min
McDonald's,4.3,₹100 OFF,₹100 OFF,Gachibowli,24 min
Dabba & Co,4.0,₹100 OFF,₹100 OFF,Gachibowli,28 min
Domino's Pizza,4.3,50% OFF,₹150 for one,Gachibowli,21 min
Cafe Amudham,4.3,₹100 OFF,₹100 OFF,Gachibowli,25 min
Lunchbox - Meals & Thalis,4.1,₹100 OFF,₹100 OFF,Gachibowli,27 min
Delhi Darbar Dhaba,3.7,₹100 OFF,₹100 OFF,Gachibowli,22 min
Gupta Special Thali,4.0,₹100 OFF,₹100 OFF,Gachibowli,22 min
Khadak Singh Da Dhaba,4.0,₹100 OFF,₹100 OFF,Gachibowli,32 min
Hira Sweets,4.2,₹100 OFF,₹100 OFF,Gachibowli,25 min
Kababs N Roll,4.3,₹100 OFF,₹100 OFF,Gachibowli,23 min
Bangla Foods,4.2,₹100 OFF,₹100 OFF,Gachibowli,24 min
KFC,4.1,₹100 OFF,₹100 OFF,Gachibowli,27 min
Haldiram's,4.2,₹100 OFF,₹100 OFF,Gachibowli,26 min
Nirula's,4.1,₹100 OFF,₹100 OFF,Gachibowli,26 min
Kaleva,4.4,Flat 15% OFF,₹200 for one,Gachibowli,25 min
Pizza Hut,4.2,Flat 20% OFF,₹200 for one,Gachibowli,24 min
Apni Rasoi,4.1,₹100 OFF,₹100 OFF,Gachibowli,31 min
WOW! Momo,4.1,₹100 OFF,₹100 OFF,Gachibowli,29 min
MOJO Pizza - 2X Toppings,4.3,₹100 OFF,₹100 OFF,Gachibowli,28 min
Saravana Bhavan,4.3,₹100 OFF,₹100 OFF,Gachibowli,31 min
Pind Balluchi,4.2,Flat 10% OFF,₹500 for one,Gachibowli,22 min
Punjab Grill,4.3,₹100 OFF,₹100 OFF,Gachibowli,24 min
Mashaallah Chicken Corner,4.1,₹100 OFF,₹100 OFF,Gachibowli,28 min
Jain Chawal Wale,4.2,₹100 OFF,₹100 OFF,Gachibowli,23 min
Cha Bar,4.3,₹100 OFF,₹100 OFF,Gachibowli,25 min
La Pino'z Pizza,4.0,Flat 25% OFF,₹250 for one,Gachibowli,31 min
Bikanervala,4.1,₹100 OFF,₹100 OFF,Gachibowli,26 min
Bakingo,4.3,₹100 OFF,₹100 OFF,Gachibowli,35 min
Wendy's Burgers,4.1,₹100 OFF,₹100 OFF,Gachibowli,36 min
The Belgian Waffle Co.,4.3,₹100 OFF,₹100 OFF,Gachibowli,24 min
Nazeer Foods,4.0,₹100 OFF,₹100 OFF,Gachibowli,25 min
Bikkgane Biryani,4.1,30% OFF,₹300 for one,Gachibowli,23 min
Chinese Wok,4.0,₹100 OFF,₹100 OFF,Gachibowli,60 min
Subway,4.0,₹100 OFF,₹100 OFF,Gachibowli,23 min
Theobroma,4.3,₹100 OFF,₹100 OFF,Gachibowli,27 min
Thalairaj Biryani,4.3,50% OFF,₹250 for one,Gachibowli,35 min
Biryani Blues,4.1,₹100 OFF,₹100 OFF,Gachibowli,22 min
BOX8 - Desi Meals,4.2,₹100 OFF,₹100 OFF,Gachibowli,28 min
Biryani By Kilo,4.2,₹100 OFF,₹100 OFF,Gachibowli,28 min
Chicago Pizza,4.0,₹100 OFF,₹100 OFF,Gachibowli,30 min
"Faasos - Wraps, Rolls & Shawarma",4.1,₹100 OFF,₹100 OFF,Gachibowli,28 min
The Yellow Bowl,4.1,₹100 OFF,₹100 OFF,Gachibowli,30 min
Cruffin Premium - Cakes And Desserts,4.4,₹100 OFF,₹100 OFF,Gachibowli,33 min
Oven Story Pizza,3.8,Flat 25% OFF,₹200 for one,Gachibowli,44 min
RollsKing,4.2,₹100 OFF,₹100 OFF,Gachibowli,23 min
Behrouz Biryani,4.1,₹100 OFF,₹100 OFF,Gachibowli,28 min
California Burrito,4.4,₹100 OFF,₹100 OFF,Gachibowli,37 min
Taco Bell,4.3,Flat 20% OFF,₹250 for one,Gachibowli,25 min
Sagar Ratna,4.3,₹100 OFF,₹100 OFF,Gachibowli,24 min
"Gianis - Ice cream, shakes & sundaes",4.3,₹100 OFF,₹100 OFF,Gachibowli,29 min
Thalaiva Biryani,4.1,₹100 OFF,₹100 OFF,Gachibowli,29 min
The Waffle Co.,3.9,₹100 OFF,₹100 OFF,Gachibowli,30 min
ZAZA Mughal Biryani,4.3,₹100 OFF,₹100 OFF,Gachibowli,29 min
Charcoal Eats - Biryani & Beyond,4.1,₹100 OFF,₹100 OFF,Gachibowli,35 min
The Biryani Life,3.8,₹100 OFF,₹100 OFF,Gachibowli,26 min
Cheesecake & Co.,4.4,₹100 OFF,₹100 OFF,Gachibowli,28 min
Daily Kitchen - Everyday Homely Meals,4.3,₹100 OFF,₹100 OFF,Gachibowli,28 min
Natural Ice Cream,4.5,₹100 OFF,₹100 OFF,Gachibowli,26 min
Wraps Kathi Rolls,4.1,₹100 OFF,₹100 OFF,Gachibowli,30 min
Sandoz,4.1,₹100 OFF,₹100 OFF,Gachibowli,21 min
Creme Castle - Cakes and Desserts,4.5,Flat 20% OFF,₹150 for one,Gachibowli,35 min
WOW! China,3.9,₹100 OFF,₹100 OFF,Gachibowli,61 min
Zulu's Pizza - Fresh Fanatics,4.3,₹100 OFF,₹100 OFF,Gachibowli,29 min
LeanCrust Pizza - ThinCrust Experts,4.3,₹100 OFF,₹100 OFF,Gachibowli,28 min
IGP Cakes,4.0,₹100 OFF,₹100 OFF,Gachibowli,37 min
Berco's - If You Love Chinese,4.3,₹100 OFF,₹100 OFF,Gachibowli,24 min
Chaayos Chai+Snacks=Relax,4.4,₹100 OFF,₹100 OFF,Gachibowli,24 min
Keventers - Milkshakes & Desserts,4.2,₹100 OFF,₹100 OFF,Gachibowli,25 min
Karim's,4.0,₹100 OFF,₹100 OFF,Gachibowli,29 min
"UBQ - Meals, Thalis & Bowls",,₹100 OFF,₹100 OFF,Gachibowli,26 min
NH1 Bowls - Highway To North,4.4,₹100 OFF,₹100 OFF,Gachibowli,28 min
Baap Of Rolls,4.0,₹100 OFF,₹100 OFF,Gachibowli,27 min
Zahra Restaurant & Café,4.2,Flat 20% OFF,₹200 for one,Gachibowli,50 min
Cake 'O' Clocks,4.2,₹100 OFF,₹100 OFF,Gachibowli,34 min
The Burger Club,4.0,₹100 OFF,₹100 OFF,Gachibowli,26 min
"Khan Chacha - Rolls, Kebabs And Biryani",4.3,₹100 OFF,₹100 OFF,Gachibowli,24 min
Popeyes,4.6,₹100 OFF,₹100 OFF,Gachibowli,24 min
Cakofy,4.5,₹100 OFF,₹100 OFF,Gachibowli,32 min
Nathu's Sweets,4.1,₹100 OFF,₹100 OFF,Gachibowli,25 min
NIC Ice Creams,4.4,₹100 OFF,₹100 OFF,Gachibowli,34 min
Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani,4.3,₹100 OFF,₹100 OFF,Gachibowli,25 min
Moti Mahal Delux,4.1,₹100 OFF,₹100 OFF,Gachibowli,33 min
SGF - Spice Grill Flame,3.8,₹100 OFF,₹100 OFF,Gachibowli,33 min
Dum Biryani By Punjabi Angithi,4.1,₹100 OFF,₹100 OFF,Gachibowli,32 min
CakeZone Patisserie,4.3,₹100 OFF,₹100 OFF,Gachibowli,35 min
Xero Degrees,4.1,₹100 OFF,₹100 OFF,Gachibowli,23 min
Wrapperz,4.1,₹100 OFF,₹100 OFF,Gachibowli,32 min
FNP Cakes By Ferns N Petals,4.4,₹100 OFF,₹100 OFF,Gachibowli,34 min
Sweet Truth - Cake and Desserts,4.0,₹100 OFF,₹100 OFF,Gachibowli,37 min
Olio - The Wood Fired Pizzeria,4.1,₹100 OFF,₹100 OFF,Gachibowli,34 min
Connaught Place SOCIAL,4.3,₹100 OFF,₹100 OFF,Gachibowli,25 min
1881 Dum House: Lucknow’s Legacy,4.4,₹100 OFF,₹100 OFF,Gachibowli,29 min
"House Of Biryan- Biryani, Kepsa And More",4.4,₹100 OFF,₹100 OFF,Gachibowli,24 min
EatFit,4.3,₹100 OFF,₹100 OFF,Gachibowli,24 min
Changezi Chicken,4.0,₹100 OFF,₹100 OFF,Gachibowli,30 min
Salad Days,4.4,₹100 OFF,₹100 OFF,Gachibowli,26 min
The Ghee Khichdi Project,4.3,₹100 OFF,₹100 OFF,Gachibowli,29 min
Giani,3.9,₹100 OFF,₹100 OFF,Gachibowli,26 min
Ghar ka Khana by EatFit,3.9,₹100 OFF,₹100 OFF,Gachibowli,24 min
Fleurons - Handcrafted Cakes And Brownies,4.2,₹100 OFF,₹100 OFF,Gachibowli,35 min
Chacha Chap Corner,4.3,₹100 OFF,₹100 OFF,Gachibowli,33 min
Great Indian Khichdi by EatFit,4.0,₹100 OFF,₹100 OFF,Gachibowli,24 min
Mad Over Donuts,4.2,₹100 OFF,₹100 OFF,Gachibowli,38 min
Goila Butter Chicken,4.0,₹100 OFF,₹100 OFF,Gachibowli,24 min
Hulk's Burger,4.3,Flat 20% OFF,₹200 for one,Gachibowli,35 min
Samosa Party,4.2,₹100 OFF,₹100 OFF,Gachibowli,33 min
Naivedyam,4.3,₹100 OFF,₹100 OFF,Gachibowli,21 min
The Good Bowl,4.1,₹100 OFF,₹100 OFF,Gachibowli,28 min
Dasaprakash,4.3,₹100 OFF,₹100 OFF,Gachibowli,26 min
Itminaan Matka Biryani - Slow Cooked,4.3,₹100 OFF,₹100 OFF,Gachibowli,29 min
Biryani Badshah,4.3,₹100 OFF,₹100 OFF,Gachibowli,22 min
Food Of Dreams By Punjabi Angithi,4.2,₹100 OFF,₹100 OFF,Gachibowli,32 min
Anna Ka Dosa,4.1,₹100 OFF,₹100 OFF,Gachibowli,35 min
Chawlas 2 Since 1960,4.0,₹100 OFF,₹100 OFF,Gachibowli,34 min
Burgrill - OG's of Grilled Burger,4.3,₹100 OFF,₹100 OFF,Gachibowli,31 min
Baskin Robbins - Ice Cream Desserts,4.2,Flat 10% OFF,₹200 for one,Gachibowli,26 min
Al Chand Foods,4.3,₹100 OFF,₹100 OFF,Gachibowli,46 min
Mithaivala - A Unit of Grover Mithaivala,4.3,₹100 OFF,₹100 OFF,Gachibowli,32 min
